hospital_id,name,street_address,city,county,state,zip_code,overall_rating,mortality_rate_heart_attack,mortality_rate_pneumonia,readmission_rate,safety_score,number_of_comparisons,clabsi_rate,year
12,NYU Langone Health,550 First Avenue,New York,New York,NY,10016,4.490685404928595,9.551894482385917,12.870087778157421,15.846143992943206,91.90685404928595,2680,0.655797534858585,2020
13,Mount Sinai Hospital,One Gustave L. Levy Place,New York,New York,NY,10029,4.504839245431321,9.78610143525249,13.258070945175849,16.16410475692668,92.0483924543132,2520,0.7899390793476113,2020
14,Hospital for Special Surgery,535 East 70th Street,New York,New York,NY,10021,4.3617343951068435,9.951956434982964,13.69637369687829,16.25105656366677,90.61734395106843,1890,0.5508671975534221,2020
15,Bellevue Hospital Center,462 First Avenue,New York,New York,NY,10016,4.065501643349739,11.940518076847134,16.19562497891604,19.02812990896526,87.6550164334974,1420,0.5527508216748698,2020
16,Jamaica Hospital Medical Center,8900 Van Wyck Expressway,Jamaica,Queens,NY,11418,3.88875424941518,13.083300143099134,17.52894341558441,20.62695701371299,85.8875424941518,980,0.8127030595789301,2020
17,Elmhurst Hospital Center,79-01 Broadway,Elmhurst,Queens,NY,11373,3.779743377593311,13.746792219916395,18.46361175684563,21.618764902903557,84.79743377593311,750,0.7502280629875189,2020
18,Queens Hospital Center,82-68 164th Street,Jamaica,Queens,NY,11432,3.706284946651905,14.866961295805153,19.9131290397343,23.35512635301597,84.06284946651905,620,1.031656451986715,2020
19,Northwell Health System,2000 Marcus Avenue,New Hyde Park,Nassau,NY,11042,4.2818395184895754,10.46747542565097,14.388465595911361,17.520352055078003,89.81839518489576,1750,0.6282301303541626,2020
20,NYU Hospital for Joint Diseases,301 East 17th Street,New York,New York,NY,10003,4.171753925973294,11.026714652330272,15.00455496362612,18.09016752674066,88.71753925973294,980,0.56699450224638,2020
21,Stanford Health,300 Pasteur Drive,Palo Alto,Santa Clara,CA,94304,4.629312975378431,9.53929769564098,13.100030514389802,15.863175547911567,93.29312975378431,2620,0.9822228993178822,2020
22,UCSF Medical Center,500 Parnassus Avenue,San Francisco,San Francisco,CA,94143,4.4954844739902695,9.816263371114372,13.364910582681286,16.239815557253067,91.9548447399027,2480,0.7040003738739671,2020
23,Kaiser Permanente Oakland Medical Center,3600 Broadway,Oakland,Alameda,CA,94611,4.401350564093758,10.428560246071957,14.317557333218863,17.085338912681387,91.01350564093758,1850,0.7875318892246934,2020
24,Cedars-Sinai Medical Center,8700 Beverly Boulevard,Los Angeles,Los Angeles,CA,90048,4.4715050362757305,9.386943311971287,12.7509099316812,15.457124033253246,91.71505036275731,2540,0.5557525181378655,2020
25,Ronald Reagan Medical Center,757 Westwood Boulevard,Los Angeles,Los Angeles,CA,90024,4.389112345509496,10.092922344136417,13.831726787970604,16.571241355397195,90.89112345509497,1960,0.6661762838506029,2020
26,USC Norris Cancer Hospital,1441 Eastlake Avenue,Los Angeles,Los Angeles,CA,90033,4.3022184517941975,10.773297137224294,14.769727254042245,17.531938919065997,90.02218451794198,1420,0.8223972852918221,2020
27,Harbor-UCLA Medical Center,1000 West Carson Street,Torrance,Los Angeles,CA,90509,3.976980128451554,12.615271477192872,17.016286029534555,19.97692442773437,86.76980128451554,1080,0.6701880770709324,2020
28,Olive View-UCLA Medical Center,14445 Olive View Drive,Sylmar,Los Angeles,CA,91342,3.8075139603669133,14.544930088733185,19.381494306420986,22.6202903756318,85.07513960366913,740,1.009812285122884,2020
29,Scripps Memorial Hospital,354 Santa Fe Drive,Encinitas,San Diego,CA,92024,4.3879872262016235,10.19348248105494,13.926236495380786,16.767399451365495,90.87987226201624,1680,0.6542325911969419,2020
30,UC San Diego Medical Center,200 West Arbor Drive,San Diego,San Diego,CA,92103,4.294166125004134,10.807411412540105,14.771242687555816,17.616324450067804,89.94166125004135,1520,0.7485496425027289,2020
31,Northwestern Memorial Hospital,251 East Huron Street,Chicago,Cook,IL,60611,4.587965867755412,8.974523528818837,12.294014305636157,15.058318735351309,92.87965867755412,2780,0.5978219099103684,2020
32,University of Chicago Medical Center,5841 South Maryland Avenue,Chicago,Cook,IL,60637,4.537045563690179,10.066296404104556,13.644546764282147,16.643978898983665,92.37045563690178,2350,1.0946523742318663,2020
33,Rush University Medical Center,1653 West Congress Parkway,Chicago,Cook,IL,60612,4.499730055505242,9.853624488446124,13.30673367161342,16.19595083257862,91.99730055505242,2280,0.7408245360784069,2020
34,Advocate Illinois Masonic Medical Center,836 West Wellington Avenue,Chicago,Cook,IL,60657,4.278845781420882,10.43903492349838,14.240764314755642,17.259186237160378,89.78845781420883,1580,0.6041767219672763,2020
35,Stroger Hospital of Cook County,1901 West Polk Street,Chicago,Cook,IL,60612,4.016450898242064,12.728250060311114,17.193343832927784,20.50363179712659,88.16450898242064,1240,1.0061122814705956,2020
36,Weiss Memorial Hospital,4646 North Marine Drive,Chicago,Cook,IL,60640,3.875583127000579,13.037439211306898,17.424446657409387,20.5838709765113,86.7558312700058,920,0.658194044930342,2020
37,West Suburban Medical Center,3 Erie Court,Oak Park,Cook,IL,60302,3.804177271900095,14.164633625941201,18.88143134949163,22.334051801141964,85.04177271900095,680,0.983992453834082,2020
38,Loyola University Medical Center,2160 South First Avenue,Maywood,Cook,IL,60153,4.060806597522404,11.672711253241971,15.69993764333159,18.63043809565104,88.60806597522405,1120,0.5504032987612023,2020
39,Cleveland Clinic Foundation,9500 Euclid Avenue,Cleveland,Cuyahoga,OH,44195,4.573436279022031,8.966177487980659,12.23717358085116,14.958795162112846,92.73436279022032,2850,0.5567181395110158,2020
40,University Hospitals Cleveland Medical Center,11100 Euclid Avenue,Cleveland,Cuyahoga,OH,44106,4.403937224717382,10.452616189871659,14.351183921325974,17.234601873006383,91.03937224717383,1780,0.8007560573021678,2020
41,Summa Health System - Akron City Hospital,525 East Market Street,Akron,Summit,OH,44309,4.214769331599908,11.574647182319064,16.27563224135866,18.83003250351842,89.14769331599908,1350,0.970006238543923,2020
42,Aultman Hospital,2600 Sixth Street SW,Canton,Stark,OH,44710,4.103427365623799,12.020672812174652,16.551410484356992,19.39334984466601,88.034273656238,1080,0.8918733451865636,2020
43,Cincinnati Children's Hospital Medical Center,3333 Burnet Avenue,Cincinnati,Hamilton,OH,45229,4.497687034352235,9.835645902299673,13.282013115662048,16.16530551528353,91.97687034352235,2140,0.7167428316419083,2020
44,The Christ Hospital,2139 Auburn Avenue,Cincinnati,Hamilton,OH,45219,4.293977926088214,10.582790297838036,14.440508624364428,17.613237987846713,89.93977926088215,1520,0.7370856519573393,2020
45,University of Cincinnati Medical Center,234 Goodman Street,Cincinnati,Hamilton,OH,45219,4.170429560192652,10.904295601926515,14.98601384269712,17.962345479294342,88.70429560192652,1260,0.5552147800963257,2020
46,Miami Valley Hospital,30 East Apple Street,Dayton,Montgomery,OH,45409,4.085603115832106,11.719393027820324,16.17548642589838,18.967735461811486,87.85603115832106,1180,0.7203859941325479,2020
47,Hospital of Philadelphia,800 Spruce Street,Philadelphia,Philadelphia,PA,19107,4.490787224580804,9.886006298769159,13.307604139885813,16.168887091170145,91.90787224580804,2360,0.6558565902568665,2020
48,University of Pennsylvania Health System,3400 Spruce Street,Philadelphia,Philadelphia,PA,19104,4.521142444524378,9.813825022909654,13.341595089840105,16.296908178960802,92.21142444524378,2480,0.9405253800647467,2020
49,Temple University Hospital,3401 North Broad Street,Philadelphia,Philadelphia,PA,19140,4.206872365791369,11.381410894492829,15.828274830816582,18.476830218453276,89.0687236579137,1350,0.8945604453172681,2020
50,Jefferson Health System,111 South 11th Street,Philadelphia,Philadelphia,PA,19107,4.264739196892745,10.413496290170356,14.161031318673514,16.924774989662474,89.64739196892745,1620,0.5523695984463727,2020
51,Penn Presbyterian Medical Center,39 and Market Streets,Philadelphia,Philadelphia,PA,19104,4.206481679387896,11.490113129756539,16.043984351124493,18.7961330534106,89.06481679387896,1280,0.88279089312868,2020
52,Lankenau Medical Center,100 Medical Center Boulevard,Wynnewood,Delaware,PA,19096,4.192298354391673,11.45667305023424,16.056785809557603,18.765221201854292,88.92298354391674,1150,0.7586398974424216,2020
53,Mercy Philadelphia Hospital,501 South 54th Street,Philadelphia,Philadelphia,PA,19143,3.8864615599938803,13.056246407927796,17.492031115901483,20.476061951882514,85.8646155999388,850,0.7885230919957167,2020
54,Kennedy Memorial Hospital - Washington,435 Berlin-Clementon Road,Washington,Gloucester,NJ,8034,3.812233525776817,14.039695719632537,18.796746585628213,22.172340573269395,85.12233525776817,720,1.0600548437146722,2020
55,Massachusetts Eye and Ear,243 Charles Street,Boston,Suffolk,MA,2114,4.620619990449919,9.124959923599352,12.550943893039092,15.408679866298865,94.20619990449919,1950,0.8704649928374393,2020
56,Emory University Hospital,1365 Clifton Road,Atlanta,Fulton,GA,30322,4.518625602382324,9.906042740726217,13.423507228587887,16.36952147549663,92.18625602382323,2320,0.915314225882036,2020
57,Grady Memorial Hospital,80 Jesse Hill Jr Drive,Atlanta,Fulton,GA,30303,3.983215649535547,12.466336839751687,16.789842567800985,19.98845421126829,87.83215649535548,1360,0.6963937027120394,2020
58,Georgia Baptist Hospital,303 Parkway Drive NE,Atlanta,Fulton,GA,30312,4.193815752482976,11.138157524829758,15.422802110009957,18.254867792210586,88.93815752482976,1280,0.7709947116884236,2020
59,Northside Hospital,1000 Johnson Ferry Road,Atlanta,Fulton,GA,30342,4.306625268628071,10.59027752510387,14.607453545890541,17.711991878637562,90.06625268628072,1580,0.8599689514710536,2020
60,Piedmont Hospital,1968 Peachtree Road NW,Atlanta,Fulton,GA,30309,4.419510902542447,10.255598122882025,13.99388628178059,17.04241898940793,91.19510902542447,1720,0.9507989400848067,2020
61,Duke University Hospital,2301 Erwin Road,Durham,Durham,NC,27710,4.590416515243094,9.216457076517683,12.648831576819893,15.413997819500556,92.90416515243095,2680,0.6217290833837019,2020
62,UNC Chapel Hill Medical Center,101 Manning Drive,Chapel Hill,Orange,NC,27514,4.4962868204667235,9.934952702153842,13.484327891740703,16.3595596710942,91.96286820466723,2240,0.7044978286893687,2020
63,Charlotte Medical Center,1000 Blythe Boulevard,Charlotte,Mecklenburg,NC,28203,4.27787330051988,10.429796354938855,14.335714896914398,17.349122128526023,89.77873300519879,1620,0.5924728492755362,2020
64,Atrium Health System,1025 Morehead Medical Drive,Charlotte,Mecklenburg,NC,28204,4.376075867518386,10.083897981169155,13.77377110423535,16.685998706790507,90.76075867518387,1840,0.5580379337591933,2020
65,Cone Health System,1200 North Elm Street,Greensboro,Guilford,NC,27401,4.216250516447884,11.476130216123629,15.850757333559951,18.745883831258816,89.16250516447884,1350,0.9828129389807014,2020
66,Wake Forest Baptist Hospital,Medical Center Boulevard,Winston-Salem,Forsyth,NC,27157,4.327124800571417,11.012398085485598,15.103472327656982,18.267559209428374,90.27124800571417,1480,1.050412320514275,2020
67,East Carolina University Medical Center,600 Moye Boulevard,Greenville,Pitt,NC,27834,4.098559797568393,11.96858983398181,16.368540983769062,19.41407635623108,87.98559797568393,1120,0.8425342502006111,2020
68,Vidant Medical Center,2100 Stantonsburg Road,Greenville,Pitt,NC,27835,4.020070657957841,12.768791369127813,17.249088132550746,20.461314238015834,87.20070657957841,980,1.0788657119007918,2020
69,Johns Hopkins Hospital,600 North Wolfe Street,Baltimore,Baltimore,MD,21287,4.7072327205009525,8.679691947857336,11.847390109360193,14.351471910612574,94.07232720500953,3150,0.7457012683256193,2020
70,University of Maryland Medical Center,22 South Greene Street,Baltimore,Baltimore,MD,21201,4.387097604907897,10.406717486134237,14.240978624293458,17.07356167852636,90.87097604907898,1760,0.6537166108465805,2020
71,Sinai Hospital of Baltimore,2401 West Belvedere Avenue,Baltimore,Baltimore,MD,21215,4.207227912110168,11.497724703523717,15.944081934386427,18.700320088294898,89.07227912110169,1280,0.8948377714459315,2020
72,Good Samaritan Hospital,5601 Loch Raven Boulevard,Baltimore,Baltimore,MD,21239,4.130760731329319,12.428215898356653,16.96141096993979,19.99369316392775,88.30760731329319,1040,1.147345516702733,2020
73,Medstar Union Memorial Hospital,201 East University Parkway,Baltimore,Baltimore,MD,21218,4.199283479217801,11.528619835943351,16.049538796579895,18.779532538389734,88.99283479217802,1150,0.8202841050368167,2020
74,Howard County General Hospital,5755 Cedar Lane,Columbia,Howard,MD,21044,4.33129287311628,11.167540869227917,15.272453787069782,18.44746169373025,90.3129287311628,1420,1.0893023719981405,2020
75,Meritus Medical Center,11116 Medical Campus Road,Hagerstown,Washington,MD,21742,3.947605097918205,12.17069811626754,16.342639527524,19.421736350654076,86.47605097918205,920,0.5438025489591026,2020
76,Peninsula Regional Medical Center,100 East Carroll Street,Salisbury,Wicomico,MD,21801,3.916438050087504,13.523612796041306,18.197940216426325,21.49018578171509,86.16438050087504,820,1.0639230060805043,2020
77,Yale New Haven Hospital,20 York Street,New Haven,New Haven,CT,6510,4.501740941364764,9.646972095736965,13.000543108104209,15.901591838062021,92.01740941364764,2420,0.7535490213007439,2020
78,Connecticut Hospital,100 Grand Street,New Haven,New Haven,CT,6510,4.1940198529906825,11.14019852990683,15.31627794186956,18.25833750084161,88.94019852990682,1280,0.7711335000336644,2020
79,Hartford Hospital,80 Seymour Street,Hartford,Hartford,CT,6115,4.30183521553071,10.657434547541746,14.544224845005372,17.633914013150573,90.0183521553071,1550,0.8107030030268041,2020
80,Baystate Medical Center,759 Chestnut Street,Springfield,Hampden,MA,1199,4.160248621707982,11.018535941421419,15.267580152594945,17.892276293377293,88.60248621707981,1340,0.5501243108539912,2020
81,Springfield Hospital,26 Mountain Street,Springfield,Hampden,MA,1199,3.9956065622432497,12.606354153348724,16.981901714770373,20.11384271394877,86.9560656224325,950,0.8403488560600049,2020
82,Mercy Medical Center,271 Carew Street,Springfield,Hampden,MA,1104,3.9071422514302343,13.300278566876774,17.935704473169807,21.090559677746555,86.07142251430236,840,0.9750709137156996,2020
83,University of Massachusetts Medical School Hospital,55 Lake Avenue North,Worcester,Worcester,MA,1655,4.32955788089483,11.035755656590371,15.023119815901245,18.196749246675214,90.2955788089483,1480,1.075993250423244,2020
84,Worcester Medical Center,19 Elm Street,Worcester,Worcester,MA,1608,4.089634595634527,11.873090173289441,16.126592015391005,19.146459261858038,87.89634595634527,1120,0.7568551790751333,2020
85,Saint Vincent Hospital,123 Summer Street,Worcester,Worcester,MA,1608,3.983830127942136,12.362897432951925,16.6909839703089,19.787240379723738,86.83830127942136,980,0.7304895831623887,2020
86,Berkshire Medical Center,725 North Street,Pittsfield,Berkshire,MA,1201,3.9899648591283094,12.542602908149897,16.894455316488795,20.115339351612217,86.8996485912831,940,0.7909754013898165,2020
87,Holyoke Medical Center,575 Beech Street,Holyoke,Hampden,MA,1040,3.818308042354041,14.342681333660922,19.12306752425411,22.625145672493254,85.18308042354042,680,1.1119757206598797,2020
88,Westwood Hospital Center,200 Great Road,Weston,Middlesex,MA,2493,4.106575022193193,12.167010239686494,16.48796783067859,19.449692897258167,88.06575022193194,1080,0.9172600177545551,2020
89,Beth Israel Hospital,330 Brookline Avenue,Boston,Suffolk,MA,2215,4.289404795924659,10.428405081691798,14.380143306205502,17.431298173571946,89.89404795924659,1580,0.7002309734732888,2020
90,Hallmark Health System,80 Highland Avenue,Melrose,Middlesex,MA,2176,4.0102653486622675,12.885024974749845,17.320139439131367,20.60601508971685,87.10265348662267,920,0.9777255463629271,2020
91,Care New England,825 Chalkstone Avenue,Providence,Providence,RI,2908,4.201941550986961,11.331609664968306,15.647570024014845,18.501200521877035,89.0194155098696,1350,0.8450367477303512,2020
92,Rhode Island Hospital,593 Eddy Street,Providence,Providence,RI,2903,4.3193728998106575,10.824042548201248,14.88765956748175,18.029715556894786,90.19372899810658,1620,0.9854669648390592,2020
93,Miriam Hospital,164 Summit Avenue,Providence,Providence,RI,2906,4.185958938122453,11.280781168849021,15.637808708963323,18.33449373570619,88.85958938122452,1280,0.6980945416359209,2020
94,Hospital of Central Connecticut,100 Grand Street,New Britain,Hartford,CT,6050,4.093446757068044,11.913880300628076,16.292356680313866,19.214696951517997,87.93446757068044,1120,0.7934127299476312,2020
95,Waterbury Hospital,64 Robbins Street,Waterbury,New Haven,CT,6721,3.992157836937357,12.567383557392136,16.928446472529032,20.156567334422313,86.92157836937356,940,0.8151536425948971,2020
96,New Britain General Hospital,100 Grand Street,New Britain,Hartford,CT,6050,3.870729701037357,12.979683442344559,17.345821156805194,20.489229170228477,85.70729701037358,820,0.6442232266016675,2020
97,Stamford Hospital,30 Shelburne Road,Stamford,Fairfield,CT,6902,4.205922405541291,11.371816295967044,15.59350591813221,18.460680894201957,89.05922405541291,1310,0.8823602522667945,2020
98,Bridgeport Hospital,267 Grant Street,Bridgeport,Fairfield,CT,6602,4.0052211054435976,12.827520602057016,17.351971355464485,20.61920100342836,87.05221105443597,900,0.9276290954093144,2020
99,Danbury Hospital,95 Locust Hill Avenue,Danbury,Fairfield,CT,6810,4.100102269132849,12.097104506634773,16.391523810079455,19.441840844391287,88.00102269132849,1130,0.855076701849637,2020
100,Manchester Memorial Hospital,71 Haynes Street,Manchester,Hartford,CT,6040,3.995308257332497,12.602983307857217,16.977277988653704,20.215795237850944,86.95308257332498,940,0.8401281104260478,2020
101,Lawrence Memorial Hospital,170 Oaks Lane,Medford,Middlesex,MA,2155,3.8716925851589914,12.881972504876105,17.254250621059768,20.297666893568543,85.71692585158992,810,0.6558986252438052,2020
102,Beverly Hospital,85 Herrick Street,Beverly,Essex,MA,1915,3.991587093544693,12.6720928664095,17.02875865929721,20.252996067994694,86.91587093544693,920,0.803426836416732,2020
103,Addison Gilbert Hospital,298 Washington Street,Gloucester,Essex,MA,1930,3.893145709669464,13.24643394506663,17.818275067612277,21.03365590952151,85.93145709669464,820,0.8498592822520986,2020
104,Lowell General Hospital,295 Varnum Street,Lowell,Middlesex,MA,1854,3.9839544546155676,12.474685337155917,16.8012940465413,20.002343746772674,86.83954454615568,940,0.730570395500119,2020
105,Hahnemann Hospital,245 North 15th Street,Philadelphia,Philadelphia,PA,19102,3.8967742857666794,13.177936572046825,17.65806600084355,20.674066286720254,85.96774285766679,850,0.8866839428980104,2020
106,Einstein Medical Center,5401 Old York Road,Philadelphia,Philadelphia,PA,19141,4.10808101713629,12.070466883358312,16.399599053617106,19.476650206739606,88.08081017136291,1120,0.9299456238803957,2020
107,Fox Chase Cancer Center,333 Cottman Avenue,Philadelphia,Philadelphia,PA,19111,4.43772371802421,10.535285834020318,14.335318847105055,17.212945257572848,91.3772371802421,1680,1.1306147693032425,2020
108,Saint Mary's Hospital,2000 Church Street,New Brunswick,Middlesex,NJ,8901,4.003491556256637,12.807803741325662,17.214468277603537,20.47799041325044,87.03491556256637,920,0.9147932450053097,2020
109,Jersey Shore University Medical Center,1945 State Route 33,Neptune,Monmouth,NJ,7753,4.105151007814455,12.151630884396118,16.466750016435384,19.424203039878748,88.05151007814456,1080,0.9046692961734197,2020
110,Barnabas Hospital,94 Old Short Hills Road,Short Hills,Essex,NJ,7078,4.198511081684677,11.296961925015236,15.489006251753942,18.334688388639506,88.98511081684677,1310,0.8083428679961205,2020
111,Morristown Medical Center,100 Madison Avenue,Morristown,Morris,NJ,7960,4.261624575694019,10.275433469093183,14.013444399161052,16.978480583812516,89.61624575694019,1580,0.5508122878470096,2020
112,Overlook Medical Center,99 Beauvoir Avenue,Summit,Union,NJ,7902,4.199469722491016,11.41859116940836,15.722417031621525,18.45893225459637,88.99469722491015,1270,0.8204182001935313,2020
113,Saint Barnabas Medical Center,94 Old Short Hills Road,Livingston,Essex,NJ,7039,4.30120460419882,10.763564200308677,14.646021235844314,17.83987596928054,90.0120460419882,1480,0.8102552689811626,2020
114,Robert Wood Johnson University Hospital,1 Robert Wood Johnson Place,New Brunswick,Middlesex,NJ,8901,4.249264842249706,11.926501390947,16.549413728395763,19.42335528669494,89.49264842249706,1280,1.2962986780521795,2020
115,University Medical Center of Princeton,253 Witherspoon Street,Princeton,Mercer,NJ,8540,4.096152780704378,11.94283475353684,16.332676432495226,19.370750052678797,87.96152780704378,1120,0.8180300021071518,2020
116,Capital Health System - Mercer Campus,446 Bellevue Avenue,Trenton,Mercer,NJ,8607,3.9060309468466716,13.3997682674754,17.91770133891609,21.17760346351011,86.06030946846673,810,0.9741263048196714,2020
117,Sacred Heart Hospital,100 Madison Avenue,Camden,Camden,NJ,8103,3.799305764605895,13.879391481113101,18.578267421839627,21.909907021499674,84.99305764605896,720,0.9342307269768341,2020
118,Virtua Voorhees Hospital,9 East Evesham Road,Voorhees,Camden,NJ,8043,3.9766264392476094,12.391878763497989,16.580047164413187,19.653251770005536,86.76626439247609,950,0.6699758635485656,2020
119,South Jersey Industries Hospital,25 Kilmer Road,Edison,Middlesex,NJ,8818,3.9228564562902997,13.485706184225547,18.07798894627384,21.174843960773767,86.228564562903,840,1.1279707626015916,2020
120,Raritan Bay Medical Center,530 New Brunswick Avenue,Perth Amboy,Middlesex,NJ,8861,3.815038660653735,14.301487124237067,18.955657231113502,22.3387886773362,85.15038660653735,700,1.0857363410145113,2020
1,Massachusetts General Hospital,55 Fruit Street,Boston,Suffolk,MA,2114,4.66582063894086,9.067729239315058,12.5444373478199,15.276653072960224,93.6582063894086,2850,0.7845744472586025,2021
2,Brigham and Women's Hospital,75 Francis Street,Boston,Suffolk,MA,2115,4.531812250904105,9.110404132684895,12.787428235939672,15.939727438832811,92.31812250904105,2420,0.6846917180695863,2021
3,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,Suffolk,MA,2215,4.478055886218721,10.174308564590369,14.11911534359964,17.300088590877678,91.78055886218722,1920,0.8724530323884159,2021
4,Boston Medical Center,801 Massachusetts Avenue,Boston,Suffolk,MA,2118,4.221962978744155,10.832022383190374,15.180963191790237,17.64656693652504,89.21962978744155,1650,1.0231148298069466,2021
5,Lahey Hospital & Medical Center,41 Mall Road,Burlington,Middlesex,MA,1805,4.361737141876005,10.246155419446852,14.018909130200472,17.36214169839129,90.61737141876006,1480,0.7370465136381636,2021
6,Mount Auburn Hospital,330 Mount Auburn Street,Cambridge,Middlesex,MA,2138,4.393809112516199,10.657805657652277,14.656399373962214,18.102469445265672,90.93809112516199,1250,0.7582140142606918,2021
7,Winchester Hospital,41 Highland Street,Winchester,Middlesex,MA,1890,4.130189273497385,11.558044153771773,15.722320175111054,18.515369068253477,88.30189273497386,520,1.0743373807624124,2021
8,Waltham Hospital,Hope Avenue,Waltham,Middlesex,MA,2454,4.038674045407944,12.08114930856898,16.274212894741552,19.400469840046977,87.38674045407944,380,0.9733699004130707,2021
9,Tufts Medical Center,800 Washington Street,Boston,Suffolk,MA,2111,4.451993027301752,9.827937245715775,13.570112144002083,16.779489831367695,91.51993027301752,1580,0.6641958163810516,2021
10,New York-Presbyterian Hospital,177 Fort Washington Avenue,New York,New York,NY,10032,4.739930486917676,8.423457797957873,11.607742307402667,14.174061573388625,94.39930486917676,4200,0.7445527311040196,2021
11,Columbia University Medical Center,622 West 168th Street,New York,New York,NY,10032,4.618986731378677,8.577792524167286,11.692651391441185,14.405814239301483,93.18986731378678,2950,0.6014325695720594,2021
12,NYU Langone Health,550 First Avenue,New York,New York,NY,10016,4.55137125949612,9.385792831666638,12.701180862054223,15.708294640542587,92.5137125949612,2680,0.6416953305077499,2021
13,Mount Sinai Hospital,One Gustave L. Levy Place,New York,New York,NY,10029,4.528753925725478,9.298159153811657,12.645047108705732,15.47743349330962,92.28753925725478,2520,0.7477902087505797,2021
14,Hospital for Special Surgery,535 East 70th Street,New York,New York,NY,10021,4.4594718486127025,10.115141007236874,13.989686847103878,16.68376083835818,91.59471848612704,1890,0.5572359243063518,2021
15,Bellevue Hospital Center,462 First Avenue,New York,New York,NY,10016,4.131611515315323,11.787726668468565,16.06049503279292,18.957329578738896,88.31611515315323,1420,0.543305757657662,2021
16,Jamaica Hospital Medical Center,8900 Van Wyck Expressway,Jamaica,Queens,NY,11418,3.9809986881003505,13.22778451958414,17.80657887841565,21.05627468033677,86.80998688100351,980,0.8179190554322525,2021
17,Elmhurst Hospital Center,79-01 Broadway,Elmhurst,Queens,NY,11373,3.8343349341532753,13.429186676915942,18.11462737402101,21.304432656726814,85.34334934153276,750,0.7298544058826945,2021
18,Queens Hospital Center,82-68 164th Street,Jamaica,Queens,NY,11432,3.7435587696758863,14.302975759721702,19.234057854165957,22.651513548031563,84.43558769675886,620,0.9887028927082979,2021
19,Northwell Health System,2000 Marcus Avenue,New Hyde Park,Nassau,NY,11042,4.366270344347393,10.509568271300239,14.513895579820334,17.758460681731993,90.66270344347393,1750,0.6279113928345404,2021
20,NYU Hospital for Joint Diseases,301 East 17th Street,New York,New York,NY,10003,4.225382713671321,10.760365408080341,14.705357991398492,17.80858267514672,89.25382713671321,980,0.5509951839723737,2021
21,Stanford Health,300 Pasteur Drive,Palo Alto,Santa Clara,CA,94304,4.654549198692082,9.084758349144286,12.522770704828156,15.223053541296782,93.54549198692082,2620,0.9320213269013492,2021
22,UCSF Medical Center,500 Parnassus Avenue,San Francisco,San Francisco,CA,94143,4.576142855085648,9.822057124753709,13.433942832044911,16.400757111793293,92.76142855085648,2480,0.7013085701531021,2021
23,Kaiser Permanente Oakland Medical Center,3600 Broadway,Oakland,Alameda,CA,94611,4.417850335308775,9.838008118371613,13.557054359014082,16.240035297878656,91.17850335308775,1850,0.740266731363055,2021
24,Cedars-Sinai Medical Center,8700 Beverly Boulevard,Los Angeles,Los Angeles,CA,90048,4.553692677170646,9.405757023667556,12.836442858330688,15.636282354408497,92.53692677170646,2540,0.554346338585323,2021
